ocreval Word Accuracy Report Version 7.0
----------------------------------------
    6487   Words
     851   Misrecognized
   86.88%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       1        0   100.00   الزاهية
       3        0   100.00   الزراعة
       2        0   100.00   الزراعي
       2        0   100.00   الزراعية
       1        0   100.00   الزعماء
       1        0   100.00   الزقاق
       1        0   100.00   الزمانية
       1        0   100.00   الزهراء
       1        0   100.00   الزيادات
       1        0   100.00   الزيوت
       1        0   100.00   السؤدد
       1        1     0.00   السائحين
       1        0   100.00   السائل
       2        1    50.00   السابع
       2        0   100.00   السابقة
       1        0   100.00   السامية
       1        0   100.00   السانى
       1        0   100.00   السباق
       1        0   100.00   الستار
       1        0   100.00   السحارين
       1        0   100.00   السر
       1        0   100.00   السطر
       2        0   100.00   السعود
       3        0   100.00   السعودية
       1        0   100.00   السفينة
       1        0   100.00   السقي
       5        0   100.00   السكان
       2        0   100.00   السلام
       2        0   100.00   السلطات
       2        1    50.00   السلطان
       2        0   100.00   السلطة
       1        1     0.00   السلطـان
       1        0   100.00   السلعة
       1        0   100.00   السلوك
       1        0   100.00   السمقانية
       1        0   100.00   السن
       3        0   100.00   السنة
       1        0   100.00   السنوات
       1        0   100.00   السنوي
       1        0   100.00   السنين
       1        0   100.00   السهل
       1        1     0.00   السودانيين
       2        0   100.00   السوري
       1        0   100.00   السورية
       1        0   100.00   السوفياتي
       1        0   100.00   السوفياتية
       1        1     0.00   السوفيايي
       1        0   100.00   السوق
       1        0   100.00   السويس
       1        1     0.00   السي
       1        0   100.00   السيئة
       1        0   100.00   السيادة
       1        0   100.00   السياسة
       1        0   100.00   السياسي
       1        0   100.00   السياسية
       3        0   100.00   السيد
       1        0   100.00   السيدة
       1        0   100.00   السير
       1        0   100.00   الشأن
       1        0   100.00   الشاعر
       2        0   100.00   الشاقة
       1        0   100.00   الشام
       1        0   100.00   الشامل
       1        0   100.00   الشان
       1        1     0.00   الشاهانى
       1        0   100.00   الشاهدان
       2        0   100.00   الشباب
       1        0   100.00   الشبهات
       1        0   100.00   الشتم
       1        0   100.00   الشخص
       1        0   100.00   الشخصية
       2        0   100.00   الشرطة
       5        0   100.00   الشرق
       2        0   100.00   الشركات
       1        0   100.00   الشروط
       1        0   100.00   الشروع
       1        0   100.00   الشريعة
       2        0   100.00   الشعب
       1        0   100.00   الشعبي
       1        0   100.00   الشعبية
       3        0   100.00   الشعر
       2        0   100.00   الشعوب
       1        0   100.00   الشكل
       1        0   100.00   الشمالية
       1        0   100.00   الشمس
       2        0   100.00   الشهابيين
       1        0   100.00   الشهادة
       1        0   100.00   الشهب
       1        0   100.00   الشهري
       1        0   100.00   الشهقة
       1        0   100.00   الشيء
       1        0   100.00   الشيخ
       1        1     0.00   الشيشكلي
       2        0   100.00   الشيعة
       1        0   100.00   الشيوخ
       1        0   100.00   الشيوعي
       1        0   100.00   الصادرة
       1        0   100.00   الصباح
       1        0   100.00   الصحة
       1        0   100.00   الصحراء
       1        0   100.00   الصحراوي
       1        0   100.00   الصحفيين
